,postcode,ins_avg,ins_total,out_avg,out_total,suburb,state
122,2048,10.857142857142858,228.0,58.08685714285715,1219.8239999999998,STANMORE,NSW
123,2049,16.38095238095238,344.0,77.24442857142857,1622.1329999999998,PETERSHAM NORTH,NSW
124,2050,7.571428571428571,159.0,62.3112380952381,1308.536,CAMPERDOWN,NSW
125,2055,0.047619047619047616,1.0,0.11428571428571427,2.4,NORTH SYDNEY,NSW
126,2057,0.9047619047619048,19.0,5.56452380952381,116.855,CHATSWOOD,NSW
127,2059,0.14285714285714285,3.0,2.0647619047619052,43.36,NORTH SYDNEY,NSW
128,2060,9.523809523809524,200.0,61.57238095238095,1293.02,NORTH SYDNEY SHOPPINGWORLD,NSW
129,2061,1.0,21.0,6.865000000000001,144.16500000000005,KIRRIBILLI,NSW
130,2062,7.523809523809524,158.0,36.13471428571429,758.8290000000002,CAMMERAY,NSW
131,2063,18.904761904761905,397.0,115.81442857142858,2432.103,NORTHBRIDGE,NSW
132,2064,12.761904761904766,268.0,116.45338095238094,2445.521,ARTARMON,NSW
133,2065,30.857142857142854,648.0,158.60319047619046,3330.667,WOLLSTONECRAFT,NSW
134,2066,61.0952380952381,1283.0,346.98190476190473,7286.62,LANE COVE,NSW
135,2067,30.714285714285715,645.0,154.94242857142856,3253.791,CHATSWOOD,NSW
136,2068,42.52380952380953,893.0,229.32409523809525,4815.806,WILLOUGHBY,NSW
137,2069,35.333333333333336,742.0,202.7663809523809,4258.093999999999,CASTLE COVE,NSW
138,2070,32.714285714285715,687.0,186.68961904761903,3920.482,LINDFIELD,NSW
139,2071,29.23809523809524,614.0,175.051,3676.071,KILLARA,NSW
140,2072,12.857142857142858,270.0,82.10747619047619,1724.257,GORDON,NSW
141,2073,39.476190476190474,829.0,233.22242857142854,4897.6709999999985,PYMBLE,NSW
142,2074,59.85714285714285,1257.0,325.2472380952381,6830.192000000001,BOBBIN HEAD,NSW
143,2075,50.714285714285715,1065.0,305.57233333333335,6417.019,ST IVES CHASE,NSW
144,2076,57.523809523809526,1208.0,325.8856666666667,6843.599,NORMANHURST,NSW
145,2077,74.33333333333333,1561.0,396.0331428571429,8316.696,HORNSBY,NSW
146,2079,25.57142857142857,537.0,121.08509523809522,2542.7870000000003,MOUNT COLAH,NSW
147,2080,7.666666666666668,161.0,54.55714285714286,1145.7,MOUNT KURING-GAI,NSW
148,2081,26.523809523809533,557.0,109.99700000000001,2309.937,COWAN,NSW
149,2082,28.476190476190478,598.0,132.51261904761904,2782.765,BEROWRA CREEK,NSW
150,2083,9.380952380952381,197.0,46.39652380952381,974.327,BAR POINT,NSW
151,2084,14.761904761904766,310.0,102.74033333333334,2157.547,AKUNA BAY,NSW
152,2085,44.14285714285715,927.0,225.8080952380953,4741.97,BELROSE,NSW
153,2086,44.19047619047619,928.0,220.201,4624.221000000001,FRENCHS FOREST EAST,NSW
154,2087,42.52380952380953,893.0,209.14314285714283,4392.0059999999985,FORESTVILLE,NSW
155,2088,38.857142857142854,816.0,239.1477142857144,5022.102000000001,MOSMAN,NSW
156,2089,4.857142857142857,102.0,31.288857142857143,657.0659999999998,KURRABA POINT,NSW
157,2090,9.952380952380953,209.0,48.80004761904761,1024.8010000000002,CREMORNE,NSW
158,2092,20.52380952380953,431.0,121.74114285714286,2556.5640000000008,SEAFORTH,NSW
159,2093,51.28571428571429,1077.0,279.48104761904756,5869.102,BALGOWLAH,NSW
160,2094,8.333333333333334,175.0,38.02166666666667,798.455,FAIRLIGHT,NSW
161,2095,15.523809523809526,326.0,87.0642380952381,1828.349,MANLY EAST,NSW
162,2096,28.285714285714285,594.0,136.4357619047619,2865.151,CURL CURL,NSW
163,2097,39.66666666666666,833.0,184.20285714285717,3868.26,COLLAROY,NSW
164,2099,74.61904761904762,1567.0,372.3500476190477,7819.3510000000015,CROMER HEIGHTS,NSW
165,2100,63.0,1323.0,382.03114285714287,8022.654,ALLAMBIE,NSW
166,2101,43.047619047619044,904.0,216.13271428571431,4538.787,NORTH NARRABEEN,NSW
167,2102,24.714285714285715,519.0,129.74814285714288,2724.711,WARRIEWOOD DC,NSW
168,2103,27.380952380952376,575.0,173.70185714285714,3647.739,MONA VALE,NSW
169,2104,10.285714285714286,216.0,63.62547619047619,1336.135,BAYVIEW,NSW
170,2105,5.428571428571429,114.0,29.388238095238094,617.153,MCCARRS CREEK,NSW
171,2106,18.952380952380953,398.0,93.5735238095238,1965.0439999999999,NEWPORT,NSW
172,2107,37.0,777.0,195.934619047619,4114.627,PARADISE BEACH,NSW
173,2108,5.333333333333333,112.0,27.402857142857147,575.46,PALM BEACH,NSW
174,2109,0.047619047619047616,1.0,1.0057142857142858,21.12,MACQUARIE UNIVERSITY,NSW
175,2110,19.714285714285715,414.0,105.82942857142858,2222.4179999999997,HUNTERS HILL,NSW
176,2111,30.285714285714285,636.0,166.87833333333333,3504.445,MONASH PARK,NSW
177,2112,63.76190476190475,1339.0,328.3867142857143,6896.121,RYDE,NSW
178,2113,44.47619047619048,934.0,298.85,6275.85,BLENHEIM ROAD,NSW
179,2114,43.523809523809526,914.0,212.93742857142857,4471.686,MELROSE PARK,NSW
180,2115,25.190476190476193,529.0,125.2408095238095,2630.0570000000002,ERMINGTON,NSW
181,2116,15.523809523809526,326.0,128.048,2689.0080000000007,RYDALMERE,NSW
182,2117,46.19047619047619,970.0,232.17366666666663,4875.647,DUNDAS,NSW
183,2118,75.80952380952381,1592.0,326.800380952381,6862.808000000001,CARLINGFORD,NSW
184,2119,34.04761904761905,715.0,167.5011904761905,3517.525,BEECROFT,NSW
185,2120,60.80952380952381,1277.0,352.3584285714286,7399.526999999999,PENNANT HILLS,NSW
186,2121,71.76190476190476,1507.0,328.3243333333333,6894.811,EPPING,NSW
187,2122,68.52380952380952,1439.0,299.8542380952381,6296.939,EASTWOOD,NSW
188,2123,0.047619047619047616,1.0,0.16285714285714287,3.42,PARRAMATTA,NSW
189,2124,0.2857142857142857,6.0,7.004047619047619,147.085,PARRAMATTA,NSW
190,2125,74.61904761904762,1567.0,372.87,7830.27,WEST PENNANT HILLS,NSW
191,2126,83.85714285714286,1761.0,387.26376190476196,8132.539000000002,CHERRYBROOK,NSW
192,2127,4.6190476190476195,97.0,84.36738095238096,1771.715,WENTWORTH POINT,NSW
193,2128,6.2857142857142865,132.0,116.43857142857144,2445.2100000000005,SILVERWATER,NSW
194,2130,8.19047619047619,172.0,42.432047619047616,891.0730000000002,SUMMER HILL,NSW
195,2131,24.095238095238088,506.0,134.3408095238095,2821.157,ASHFIELD,NSW
196,2132,19.904761904761905,418.0,96.07404761904765,2017.5550000000005,CROYDON,NSW
197,2133,18.80952380952381,395.0,84.70590476190476,1778.8239999999998,ENFIELD SOUTH,NSW
198,2134,16.19047619047619,340.0,89.55999999999997,1880.76,BURWOOD,NSW
199,2135,42.80952380952381,899.0,263.9482857142857,5542.914000000001,STRATHFIELD,NSW
200,2136,15.285714285714285,321.0,111.30585714285714,2337.423,BURWOOD HEIGHTS,NSW
201,2137,44.714285714285715,939.0,234.4222857142857,4922.8679999999995,NORTH STRATHFIELD,NSW
202,2138,20.952380952380953,440.0,137.26166666666666,2882.495,CONCORD WEST,NSW
203,2140,9.619047619047619,202.0,71.35971428571429,1498.5539999999999,HOMEBUSH,NSW
204,2141,65.0952380952381,1367.0,313.2527619047619,6578.307999999999,ROOKWOOD,NSW
205,2142,38.333333333333336,805.0,219.85257142857142,4616.904,BLAXCELL,NSW
206,2143,24.476190476190478,514.0,132.11866666666666,2774.492,BIRRONG,NSW
207,2144,58.19047619047619,1222.0,364.3096190476191,7650.501999999998,AUBURN,NSW
208,2145,224.47619047619045,4714.0,1169.5027619047619,24559.557999999997,CONSTITUTION HILL,NSW
209,2146,64.3809523809524,1352.0,281.4546190476191,5910.547000000001,OLD TOONGABBIE,NSW
210,2147,156.0,3276.0,758.4431904761905,15927.306999999999,KINGS LANGLEY,NSW
211,2148,234.047619047619,4915.0,1271.2514285714285,26696.279999999995,ARNDELL PARK,NSW
